brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description,type,warranty,features,safety_features,tech_features,comfort_features,dealer_location,availability,delivery_time
Bugatti,Unknown Model,2024,"$700,307",0 km,Electric,CVT,65 kWh Battery,Purple,https://www.contactcars.com/en/new-cars/bugatti/unknown-model-2024,"Brand new 2024 Bugatti Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Automatic Emergency Braking, Blind Spot Monitoring, Parking Sensors, Adaptive Cruise Control, Forward Collision Warning, Wireless Smartphone Integration, Digital Instrument Cluster, Voice Recognition, Satellite Navigation, Wireless Charging, Android Auto, Premium Sound System, Wi-Fi Hotspot, Heated Steering Wheel, Push-Button Start, Power Seats","Automatic Emergency Braking, Blind Spot Monitoring, Parking Sensors, Adaptive Cruise Control, Forward Collision Warning","Wireless Smartphone Integration, Digital Instrument Cluster, Voice Recognition, Satellite Navigation, Wireless Charging, Android Auto, Premium Sound System, Wi-Fi Hotspot","Heated Steering Wheel, Push-Button Start, Power Seats",ContactCars Bugatti Showroom,Coming Soon,2-4 weeks
Alfa Romeo,Stelvio,2024,"$73,763",0 km,Hydrogen,CVT,4.9L,Red,https://www.contactcars.com/en/new-cars/alfa-romeo/stelvio-2024,"Brand new 2024 Alfa Romeo Stelvio. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","360-Degree Camera, Electronic Stability Control, Parking Sensors, USB-C Ports, Voice Recognition, Head-Up Display, Digital Instrument Cluster, Power Windows, Power Mirrors, Push-Button Start, Remote Start, Memory Seats, Keyless Entry, Dual-Zone Climate, Heated Steering Wheel","360-Degree Camera, Electronic Stability Control, Parking Sensors","USB-C Ports, Voice Recognition, Head-Up Display, Digital Instrument Cluster","Power Windows, Power Mirrors, Push-Button Start, Remote Start, Memory Seats, Keyless Entry, Dual-Zone Climate, Heated Steering Wheel",ContactCars Alfa Romeo Showroom,In Stock,4-8 weeks
Audi,Q5,2024,"$126,481",0 km,Plug-in Hybrid,Manual,4.5L,Black,https://www.contactcars.com/en/new-cars/audi/q5-2024,"Brand new 2024 Audi Q5. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Tire Pressure Monitoring, Electronic Stability Control, Automatic Emergency Braking, Apple CarPlay, Premium Sound System, Wireless Smartphone Integration, Android Auto, Wi-Fi Hotspot, Gesture Control, Panoramic Sunroof, USB-C Ports, Wireless Charging, Heated Seats, Memory Seats, Heated Steering Wheel, Climate Control","Tire Pressure Monitoring, Electronic Stability Control, Automatic Emergency Braking","Apple CarPlay, Premium Sound System, Wireless Smartphone Integration, Android Auto, Wi-Fi Hotspot, Gesture Control, Panoramic Sunroof, USB-C Ports, Wireless Charging","Heated Seats, Memory Seats, Heated Steering Wheel, Climate Control",ContactCars Audi Showroom,In Stock,1-2 weeks
Smart,Unknown Model,2024,"$82,356",0 km,Plug-in Hybrid,Semi-Automatic,2.9L,Purple,https://www.contactcars.com/en/new-cars/smart/unknown-model-2024,"Brand new 2024 Smart Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Tire Pressure Monitoring, Automatic Emergency Braking, Electronic Stability Control, Satellite Navigation, Apple CarPlay, Premium Sound System, Voice Recognition, Auto-Dimming Mirrors, Rain-Sensing Wipers, Ventilated Seats, Remote Start, Heated Seats, Dual-Zone Climate, Push-Button Start","Tire Pressure Monitoring, Automatic Emergency Braking, Electronic Stability Control","Satellite Navigation, Apple CarPlay, Premium Sound System, Voice Recognition","Auto-Dimming Mirrors, Rain-Sensing Wipers, Ventilated Seats, Remote Start, Heated Seats, Dual-Zone Climate, Push-Button Start",ContactCars Smart Showroom,Available for Order,Immediate
BMW,M3,2024,"$105,731",0 km,Gasoline,CVT,1.0L,Orange,https://www.contactcars.com/en/new-cars/bmw/m3-2024,"Brand new 2024 BMW M3. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","360-Degree Camera, Anti-lock Braking System, Adaptive Cruise Control, Forward Collision Warning, Automatic Emergency Braking, Blind Spot Monitoring, Rear Cross Traffic Alert, Traction Control, Gesture Control, Digital Instrument Cluster, Apple CarPlay, Wireless Charging, Android Auto, Bluetooth Connectivity, Voice Recognition, Wi-Fi Hotspot, Panoramic Sunroof, Heated Seats, Climate Control, Power Mirrors, Remote Start, Power Seats, Ventilated Seats, Heated Steering Wheel, Push-Button Start","360-Degree Camera, Anti-lock Braking System, Adaptive Cruise Control, Forward Collision Warning, Automatic Emergency Braking, Blind Spot Monitoring, Rear Cross Traffic Alert, Traction Control","Gesture Control, Digital Instrument Cluster, Apple CarPlay, Wireless Charging, Android Auto, Bluetooth Connectivity, Voice Recognition, Wi-Fi Hotspot, Panoramic Sunroof","Heated Seats, Climate Control, Power Mirrors, Remote Start, Power Seats, Ventilated Seats, Heated Steering Wheel, Push-Button Start",ContactCars BMW Showroom,Available for Order,2-4 weeks
Opel,Unknown Model,2024,"$72,104",0 km,Hydrogen,CVT,4.6L,White,https://www.contactcars.com/en/new-cars/opel/unknown-model-2024,"Brand new 2024 Opel Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Blind Spot Monitoring, Forward Collision Warning, Automatic Emergency Braking, Digital Instrument Cluster, Wireless Smartphone Integration, Apple CarPlay, Satellite Navigation, USB-C Ports, Rain-Sensing Wipers, Power Windows, Memory Seats, Keyless Entry, Ventilated Seats, Auto-Dimming Mirrors","Blind Spot Monitoring, Forward Collision Warning, Automatic Emergency Braking","Digital Instrument Cluster, Wireless Smartphone Integration, Apple CarPlay, Satellite Navigation, USB-C Ports","Rain-Sensing Wipers, Power Windows, Memory Seats, Keyless Entry, Ventilated Seats, Auto-Dimming Mirrors",ContactCars Opel Showroom,Available for Order,2-4 weeks
Rolls-Royce,Unknown Model,2024,"$356,576",0 km,Electric,Semi-Automatic,94 kWh Battery,Gray,https://www.contactcars.com/en/new-cars/rolls-royce/unknown-model-2024,"Brand new 2024 Rolls-Royce Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Automatic Emergency Braking, Rear Cross Traffic Alert, Forward Collision Warning, Parking Sensors, Electronic Stability Control, Traction Control, Adaptive Cruise Control, Lane Departure Warning, Head-Up Display, Wi-Fi Hotspot, Satellite Navigation, Gesture Control, Wireless Charging, USB-C Ports, Dual-Zone Climate, Power Windows, Auto-Dimming Mirrors, Rain-Sensing Wipers, Ventilated Seats, Heated Steering Wheel, Heated Seats, Remote Start","Automatic Emergency Braking, Rear Cross Traffic Alert, Forward Collision Warning, Parking Sensors, Electronic Stability Control, Traction Control, Adaptive Cruise Control, Lane Departure Warning","Head-Up Display, Wi-Fi Hotspot, Satellite Navigation, Gesture Control, Wireless Charging, USB-C Ports","Dual-Zone Climate, Power Windows, Auto-Dimming Mirrors, Rain-Sensing Wipers, Ventilated Seats, Heated Steering Wheel, Heated Seats, Remote Start",ContactCars Rolls-Royce Showroom,Coming Soon,Immediate
Citroen,Unknown Model,2024,"$52,775",0 km,Hybrid,Automatic,3.2L,Yellow,https://www.contactcars.com/en/new-cars/citroen/unknown-model-2024,"Brand new 2024 Citroen Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"4-Year/50,000-Mile Comprehensive Warranty","Adaptive Cruise Control, Traction Control, Tire Pressure Monitoring, Gesture Control, Panoramic Sunroof, Apple CarPlay, Satellite Navigation, Wi-Fi Hotspot, Digital Instrument Cluster, Voice Recognition, Power Seats, Climate Control, Power Mirrors, Ventilated Seats, Memory Seats, Keyless Entry, Push-Button Start","Adaptive Cruise Control, Traction Control, Tire Pressure Monitoring","Gesture Control, Panoramic Sunroof, Apple CarPlay, Satellite Navigation, Wi-Fi Hotspot, Digital Instrument Cluster, Voice Recognition","Power Seats, Climate Control, Power Mirrors, Ventilated Seats, Memory Seats, Keyless Entry, Push-Button Start",ContactCars Citroen Showroom,Coming Soon,Immediate
Rolls-Royce,Unknown Model,2024,"$263,397",0 km,Plug-in Hybrid,Semi-Automatic,6.3L,Red,https://www.contactcars.com/en/new-cars/rolls-royce/unknown-model-2024,"Brand new 2024 Rolls-Royce Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"4-Year/50,000-Mile Comprehensive Warranty","Traction Control, Tire Pressure Monitoring, 360-Degree Camera, Parking Sensors, Gesture Control, Satellite Navigation, Wireless Charging, Digital Instrument Cluster, Apple CarPlay, USB-C Ports, Rain-Sensing Wipers, Dual-Zone Climate, Heated Seats, Keyless Entry","Traction Control, Tire Pressure Monitoring, 360-Degree Camera, Parking Sensors","Gesture Control, Satellite Navigation, Wireless Charging, Digital Instrument Cluster, Apple CarPlay, USB-C Ports","Rain-Sensing Wipers, Dual-Zone Climate, Heated Seats, Keyless Entry",ContactCars Rolls-Royce Showroom,Coming Soon,Immediate
Ram,Unknown Model,2024,"$108,971",0 km,Plug-in Hybrid,Automatic,4.4L,Silver,https://www.contactcars.com/en/new-cars/ram/unknown-model-2024,"Brand new 2024 Ram Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"8-Year/100,000-Mile Battery Warranty (Electric)","Lane Departure Warning, Forward Collision Warning, Anti-lock Braking System, 360-Degree Camera, Gesture Control, Apple CarPlay, Head-Up Display, USB-C Ports, Digital Instrument Cluster, Satellite Navigation, Premium Sound System, Heated Steering Wheel, Push-Button Start, Rain-Sensing Wipers, Ventilated Seats, Climate Control","Lane Departure Warning, Forward Collision Warning, Anti-lock Braking System, 360-Degree Camera","Gesture Control, Apple CarPlay, Head-Up Display, USB-C Ports, Digital Instrument Cluster, Satellite Navigation, Premium Sound System","Heated Steering Wheel, Push-Button Start, Rain-Sensing Wipers, Ventilated Seats, Climate Control",ContactCars Ram Showroom,Coming Soon,Immediate
Lincoln,Unknown Model,2024,"$102,958",0 km,Gasoline,Semi-Automatic,2.7L,Orange,https://www.contactcars.com/en/new-cars/lincoln/unknown-model-2024,"Brand new 2024 Lincoln Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Traction Control, Lane Departure Warning, Anti-lock Braking System, Automatic Emergency Braking, Parking Sensors, Wireless Smartphone Integration, Gesture Control, Apple CarPlay, Premium Sound System, Satellite Navigation, Keyless Entry, Heated Seats, Remote Start","Traction Control, Lane Departure Warning, Anti-lock Braking System, Automatic Emergency Braking, Parking Sensors","Wireless Smartphone Integration, Gesture Control, Apple CarPlay, Premium Sound System, Satellite Navigation","Keyless Entry, Heated Seats, Remote Start",ContactCars Lincoln Showroom,In Stock,1-2 weeks
Lotus,Unknown Model,2024,"$96,476",0 km,Diesel,Automatic,2.3L,Orange,https://www.contactcars.com/en/new-cars/lotus/unknown-model-2024,"Brand new 2024 Lotus Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Traction Control, 360-Degree Camera, Forward Collision Warning, Wi-Fi Hotspot, Head-Up Display, Wireless Smartphone Integration, Gesture Control, USB-C Ports, Android Auto, Voice Recognition, Bluetooth Connectivity, Heated Steering Wheel, Dual-Zone Climate, Auto-Dimming Mirrors, Memory Seats, Ventilated Seats","Traction Control, 360-Degree Camera, Forward Collision Warning","Wi-Fi Hotspot, Head-Up Display, Wireless Smartphone Integration, Gesture Control, USB-C Ports, Android Auto, Voice Recognition, Bluetooth Connectivity","Heated Steering Wheel, Dual-Zone Climate, Auto-Dimming Mirrors, Memory Seats, Ventilated Seats",ContactCars Lotus Showroom,In Stock,1-2 weeks
Lamborghini,Unknown Model,2024,"$726,958",0 km,Gasoline,Dual-Clutch,4.8L,Black,https://www.contactcars.com/en/new-cars/lamborghini/unknown-model-2024,"Brand new 2024 Lamborghini Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"10-Year/100,000-Mile Limited Warranty","Rear Cross Traffic Alert, Tire Pressure Monitoring, Traction Control, Adaptive Cruise Control, Automatic Emergency Braking, Parking Sensors, Apple CarPlay, Android Auto, Gesture Control, Ambient Lighting, Premium Sound System, Bluetooth Connectivity, Wi-Fi Hotspot, Auto-Dimming Mirrors, Climate Control, Dual-Zone Climate, Ventilated Seats, Keyless Entry, Memory Seats","Rear Cross Traffic Alert, Tire Pressure Monitoring, Traction Control, Adaptive Cruise Control, Automatic Emergency Braking, Parking Sensors","Apple CarPlay, Android Auto, Gesture Control, Ambient Lighting, Premium Sound System, Bluetooth Connectivity, Wi-Fi Hotspot","Auto-Dimming Mirrors, Climate Control, Dual-Zone Climate, Ventilated Seats, Keyless Entry, Memory Seats",ContactCars Lamborghini Showroom,Available for Order,4-8 weeks
Jaguar,Unknown Model,2024,"$30,034",0 km,Electric,Semi-Automatic,92 kWh Battery,Black,https://www.contactcars.com/en/new-cars/jaguar/unknown-model-2024,"Brand new 2024 Jaguar Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"4-Year/50,000-Mile Comprehensive Warranty","Tire Pressure Monitoring, Automatic Emergency Braking, Rear Cross Traffic Alert, Head-Up Display, Bluetooth Connectivity, Ambient Lighting, Apple CarPlay, Android Auto, Premium Sound System, Heated Seats, Remote Start, Power Windows, Auto-Dimming Mirrors, Keyless Entry, Push-Button Start, Dual-Zone Climate","Tire Pressure Monitoring, Automatic Emergency Braking, Rear Cross Traffic Alert","Head-Up Display, Bluetooth Connectivity, Ambient Lighting, Apple CarPlay, Android Auto, Premium Sound System","Heated Seats, Remote Start, Power Windows, Auto-Dimming Mirrors, Keyless Entry, Push-Button Start, Dual-Zone Climate",ContactCars Jaguar Showroom,Coming Soon,2-4 weeks
Mazda,Unknown Model,2024,"$99,412",0 km,Hybrid,Automatic,5.2L,White,https://www.contactcars.com/en/new-cars/mazda/unknown-model-2024,"Brand new 2024 Mazda Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Forward Collision Warning, Parking Sensors, Automatic Emergency Braking, Traction Control, Wireless Charging, Premium Sound System, Bluetooth Connectivity, Ambient Lighting, Android Auto, Gesture Control, Head-Up Display, Digital Instrument Cluster, Wireless Smartphone Integration, Power Mirrors, Remote Start, Power Windows, Ventilated Seats, Heated Seats, Rain-Sensing Wipers, Memory Seats, Power Seats","Forward Collision Warning, Parking Sensors, Automatic Emergency Braking, Traction Control","Wireless Charging, Premium Sound System, Bluetooth Connectivity, Ambient Lighting, Android Auto, Gesture Control, Head-Up Display, Digital Instrument Cluster, Wireless Smartphone Integration","Power Mirrors, Remote Start, Power Windows, Ventilated Seats, Heated Seats, Rain-Sensing Wipers, Memory Seats, Power Seats",ContactCars Mazda Showroom,In Stock,2-4 weeks
Pontiac,Unknown Model,2024,"$60,420",0 km,Diesel,Automatic,5.3L,Yellow,https://www.contactcars.com/en/new-cars/pontiac/unknown-model-2024,"Brand new 2024 Pontiac Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Adaptive Cruise Control, Automatic Emergency Braking, Parking Sensors, 360-Degree Camera, Tire Pressure Monitoring, Blind Spot Monitoring, Premium Sound System, Wi-Fi Hotspot, Gesture Control, Wireless Smartphone Integration, Panoramic Sunroof, Wireless Charging, Apple CarPlay, Bluetooth Connectivity, Satellite Navigation, Climate Control, Auto-Dimming Mirrors, Remote Start, Power Seats, Heated Seats","Adaptive Cruise Control, Automatic Emergency Braking, Parking Sensors, 360-Degree Camera, Tire Pressure Monitoring, Blind Spot Monitoring","Premium Sound System, Wi-Fi Hotspot, Gesture Control, Wireless Smartphone Integration, Panoramic Sunroof, Wireless Charging, Apple CarPlay, Bluetooth Connectivity, Satellite Navigation","Climate Control, Auto-Dimming Mirrors, Remote Start, Power Seats, Heated Seats",ContactCars Pontiac Showroom,In Stock,4-8 weeks
Fiat,Unknown Model,2024,"$40,022",0 km,Hybrid,Semi-Automatic,2.0L,Silver,https://www.contactcars.com/en/new-cars/fiat/unknown-model-2024,"Brand new 2024 Fiat Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"4-Year/50,000-Mile Comprehensive Warranty","Anti-lock Braking System, Rear Cross Traffic Alert, Electronic Stability Control, Tire Pressure Monitoring, Lane Departure Warning, Ambient Lighting, Bluetooth Connectivity, Apple CarPlay, Satellite Navigation, Wireless Smartphone Integration, Wi-Fi Hotspot, Voice Recognition, Premium Sound System, Power Windows, Power Seats, Heated Steering Wheel, Rain-Sensing Wipers, Push-Button Start, Dual-Zone Climate","Anti-lock Braking System, Rear Cross Traffic Alert, Electronic Stability Control, Tire Pressure Monitoring, Lane Departure Warning","Ambient Lighting, Bluetooth Connectivity, Apple CarPlay, Satellite Navigation, Wireless Smartphone Integration, Wi-Fi Hotspot, Voice Recognition, Premium Sound System","Power Windows, Power Seats, Heated Steering Wheel, Rain-Sensing Wipers, Push-Button Start, Dual-Zone Climate",ContactCars Fiat Showroom,Coming Soon,1-2 weeks
McLaren,Unknown Model,2024,"$78,181",0 km,Gasoline,Semi-Automatic,5.0L,Orange,https://www.contactcars.com/en/new-cars/mclaren/unknown-model-2024,"Brand new 2024 McLaren Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Tire Pressure Monitoring, Anti-lock Braking System, Electronic Stability Control, Automatic Emergency Braking, Rear Cross Traffic Alert, Lane Departure Warning, Blind Spot Monitoring, Satellite Navigation, USB-C Ports, Gesture Control, Premium Sound System, Wi-Fi Hotspot, Panoramic Sunroof, Wireless Charging, Head-Up Display, Android Auto, Ventilated Seats, Climate Control, Power Windows","Tire Pressure Monitoring, Anti-lock Braking System, Electronic Stability Control, Automatic Emergency Braking, Rear Cross Traffic Alert, Lane Departure Warning, Blind Spot Monitoring","Satellite Navigation, USB-C Ports, Gesture Control, Premium Sound System, Wi-Fi Hotspot, Panoramic Sunroof, Wireless Charging, Head-Up Display, Android Auto","Ventilated Seats, Climate Control, Power Windows",ContactCars McLaren Showroom,Coming Soon,2-4 weeks
Rolls-Royce,Unknown Model,2024,"$744,521",0 km,Hydrogen,Semi-Automatic,1.5L,White,https://www.contactcars.com/en/new-cars/rolls-royce/unknown-model-2024,"Brand new 2024 Rolls-Royce Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Rear Cross Traffic Alert, Parking Sensors, Blind Spot Monitoring, Wireless Charging, Apple CarPlay, Panoramic Sunroof, Premium Sound System, Bluetooth Connectivity, Digital Instrument Cluster, Heated Seats, Auto-Dimming Mirrors, Remote Start, Power Seats","Rear Cross Traffic Alert, Parking Sensors, Blind Spot Monitoring","Wireless Charging, Apple CarPlay, Panoramic Sunroof, Premium Sound System, Bluetooth Connectivity, Digital Instrument Cluster","Heated Seats, Auto-Dimming Mirrors, Remote Start, Power Seats",ContactCars Rolls-Royce Showroom,Available for Order,1-2 weeks
Lexus,Unknown Model,2024,"$119,782",0 km,Plug-in Hybrid,Manual,2.7L,Gray,https://www.contactcars.com/en/new-cars/lexus/unknown-model-2024,"Brand new 2024 Lexus Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Automatic Emergency Braking, Forward Collision Warning, Tire Pressure Monitoring, Voice Recognition, Ambient Lighting, Apple CarPlay, Head-Up Display, Android Auto, Wireless Charging, Power Mirrors, Remote Start, Push-Button Start, Heated Seats, Dual-Zone Climate, Climate Control, Auto-Dimming Mirrors, Memory Seats","Automatic Emergency Braking, Forward Collision Warning, Tire Pressure Monitoring","Voice Recognition, Ambient Lighting, Apple CarPlay, Head-Up Display, Android Auto, Wireless Charging","Power Mirrors, Remote Start, Push-Button Start, Heated Seats, Dual-Zone Climate, Climate Control, Auto-Dimming Mirrors, Memory Seats",ContactCars Lexus Showroom,Available for Order,Immediate
Citroen,Unknown Model,2024,"$116,763",0 km,Plug-in Hybrid,Manual,6.7L,Green,https://www.contactcars.com/en/new-cars/citroen/unknown-model-2024,"Brand new 2024 Citroen Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"3-Year/36,000-Mile Basic Warranty","Electronic Stability Control, 360-Degree Camera, Forward Collision Warning, Automatic Emergency Braking, Rear Cross Traffic Alert, Wi-Fi Hotspot, Wireless Smartphone Integration, Premium Sound System, Apple CarPlay, Wireless Charging, Head-Up Display, Satellite Navigation, Ambient Lighting, Panoramic Sunroof, Bluetooth Connectivity, Dual-Zone Climate, Power Windows, Heated Steering Wheel","Electronic Stability Control, 360-Degree Camera, Forward Collision Warning, Automatic Emergency Braking, Rear Cross Traffic Alert","Wi-Fi Hotspot, Wireless Smartphone Integration, Premium Sound System, Apple CarPlay, Wireless Charging, Head-Up Display, Satellite Navigation, Ambient Lighting, Panoramic Sunroof, Bluetooth Connectivity","Dual-Zone Climate, Power Windows, Heated Steering Wheel",ContactCars Citroen Showroom,In Stock,2-4 weeks
GMC,Unknown Model,2024,"$82,938",0 km,Hybrid,CVT,5.0L,Green,https://www.contactcars.com/en/new-cars/gmc/unknown-model-2024,"Brand new 2024 GMC Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Lane Departure Warning, Rear Cross Traffic Alert, Anti-lock Braking System, Wireless Smartphone Integration, USB-C Ports, Wireless Charging, Panoramic Sunroof, Memory Seats, Dual-Zone Climate, Push-Button Start","Lane Departure Warning, Rear Cross Traffic Alert, Anti-lock Braking System","Wireless Smartphone Integration, USB-C Ports, Wireless Charging, Panoramic Sunroof","Memory Seats, Dual-Zone Climate, Push-Button Start",ContactCars GMC Showroom,In Stock,Immediate
McLaren,Unknown Model,2024,"$84,564",0 km,Gasoline,Dual-Clutch,1.5L,Purple,https://www.contactcars.com/en/new-cars/mclaren/unknown-model-2024,"Brand new 2024 McLaren Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Electronic Stability Control, Blind Spot Monitoring, Forward Collision Warning, Tire Pressure Monitoring, Rear Cross Traffic Alert, Automatic Emergency Braking, Parking Sensors, USB-C Ports, Head-Up Display, Premium Sound System, Gesture Control, Panoramic Sunroof, Apple CarPlay, Android Auto, Bluetooth Connectivity, Wireless Smartphone Integration, Remote Start, Keyless Entry, Climate Control","Electronic Stability Control, Blind Spot Monitoring, Forward Collision Warning, Tire Pressure Monitoring, Rear Cross Traffic Alert, Automatic Emergency Braking, Parking Sensors","USB-C Ports, Head-Up Display, Premium Sound System, Gesture Control, Panoramic Sunroof, Apple CarPlay, Android Auto, Bluetooth Connectivity, Wireless Smartphone Integration","Remote Start, Keyless Entry, Climate Control",ContactCars McLaren Showroom,Coming Soon,1-2 weeks
Mazda,Unknown Model,2024,"$90,959",0 km,Diesel,Semi-Automatic,4.9L,Red,https://www.contactcars.com/en/new-cars/mazda/unknown-model-2024,"Brand new 2024 Mazda Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,Lifetime Powertrain Warranty,"Tire Pressure Monitoring, Rear Cross Traffic Alert, Anti-lock Braking System, Wireless Charging, Bluetooth Connectivity, Voice Recognition, USB-C Ports, Panoramic Sunroof, Head-Up Display, Gesture Control, Apple CarPlay, Wi-Fi Hotspot, Satellite Navigation, Climate Control, Remote Start, Rain-Sensing Wipers, Power Seats, Keyless Entry, Power Mirrors, Heated Steering Wheel","Tire Pressure Monitoring, Rear Cross Traffic Alert, Anti-lock Braking System","Wireless Charging, Bluetooth Connectivity, Voice Recognition, USB-C Ports, Panoramic Sunroof, Head-Up Display, Gesture Control, Apple CarPlay, Wi-Fi Hotspot, Satellite Navigation","Climate Control, Remote Start, Rain-Sensing Wipers, Power Seats, Keyless Entry, Power Mirrors, Heated Steering Wheel",ContactCars Mazda Showroom,Coming Soon,1-2 weeks
Dodge,Unknown Model,2024,"$121,149",0 km,Gasoline,Manual,4.3L,Green,https://www.contactcars.com/en/new-cars/dodge/unknown-model-2024,"Brand new 2024 Dodge Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"6-Year/70,000-Mile Extended Warranty","Anti-lock Braking System, Adaptive Cruise Control, 360-Degree Camera, Parking Sensors, Rear Cross Traffic Alert, Android Auto, Wireless Charging, USB-C Ports, Bluetooth Connectivity, Digital Instrument Cluster, Panoramic Sunroof, Premium Sound System, Head-Up Display, Memory Seats, Push-Button Start, Climate Control, Ventilated Seats","Anti-lock Braking System, Adaptive Cruise Control, 360-Degree Camera, Parking Sensors, Rear Cross Traffic Alert","Android Auto, Wireless Charging, USB-C Ports, Bluetooth Connectivity, Digital Instrument Cluster, Panoramic Sunroof, Premium Sound System, Head-Up Display","Memory Seats, Push-Button Start, Climate Control, Ventilated Seats",ContactCars Dodge Showroom,Available for Order,2-4 weeks
McLaren,Unknown Model,2024,"$33,171",0 km,Hydrogen,Semi-Automatic,1.6L,Purple,https://www.contactcars.com/en/new-cars/mclaren/unknown-model-2024,"Brand new 2024 McLaren Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Automatic Emergency Braking, Electronic Stability Control, Lane Departure Warning, 360-Degree Camera, Blind Spot Monitoring, Gesture Control, Wireless Charging, Ambient Lighting, Bluetooth Connectivity, Wi-Fi Hotspot, Panoramic Sunroof, Wireless Smartphone Integration, Auto-Dimming Mirrors, Dual-Zone Climate, Power Windows","Automatic Emergency Braking, Electronic Stability Control, Lane Departure Warning, 360-Degree Camera, Blind Spot Monitoring","Gesture Control, Wireless Charging, Ambient Lighting, Bluetooth Connectivity, Wi-Fi Hotspot, Panoramic Sunroof, Wireless Smartphone Integration","Auto-Dimming Mirrors, Dual-Zone Climate, Power Windows",ContactCars McLaren Showroom,Coming Soon,2-4 weeks
Chrysler,Unknown Model,2024,"$53,673",0 km,Gasoline,Automatic,1.6L,Silver,https://www.contactcars.com/en/new-cars/chrysler/unknown-model-2024,"Brand new 2024 Chrysler Unknown Model. Zero kilometers, full warranty, latest features and technology.",New Car,"5-Year/60,000-Mile Powertrain Warranty","Anti-lock Braking System, Adaptive Cruise Control, Tire Pressure Monitoring, Automatic Emergency Braking, Electronic Stability Control, Parking Sensors, Traction Control, 360-Degree Camera, Bluetooth Connectivity, Head-Up Display, Digital Instrument Cluster, Gesture Control, Panoramic Sunroof, Power Seats, Power Mirrors, Ventilated Seats, Heated Seats","Anti-lock Braking System, Adaptive Cruise Control, Tire Pressure Monitoring, Automatic Emergency Braking, Electronic Stability Control, Parking Sensors, Traction Control, 360-Degree Camera","Bluetooth Connectivity, Head-Up Display, Digital Instrument Cluster, Gesture Control, Panoramic Sunroof","Power Seats, Power Mirrors, Ventilated Seats, Heated Seats",ContactCars Chrysler Showroom,Coming Soon,1-2 weeks
