brand,model,year,price,mileage,fuel_type,transmission,engine_size,color,url,description
Honda,Civic,2021,"$51,778","79,847 km",Electric,Automatic,3.2L,Red,https://www.contactcars.com/en/used-cars/honda/civic-2021,Excellent condition 2021 Honda Civic. Well maintained with full service history.
Seat,Unknown Model,2012,"$-13,225","99,126 km",Hybrid,Automatic,2.6L,Silver,https://www.contactcars.com/en/used-cars/seat/unknown-model-2012,Excellent condition 2012 Seat Unknown Model. Well maintained with full service history.
Toyota,Camry,2012,"$-15,284","46,993 km",Electric,Automatic,3.4L,White,https://www.contactcars.com/en/used-cars/toyota/camry-2012,Excellent condition 2012 Toyota Camry. Well maintained with full service history.
Chevrolet,Silverado,2015,"$1,538","144,337 km",Hybrid,Semi-Automatic,5.2L,Gray,https://www.contactcars.com/en/used-cars/chevrolet/silverado-2015,Excellent condition 2015 Chevrolet Silverado. Well maintained with full service history.
Jaguar,Unknown Model,2018,"$15,775","91,764 km",Plug-in Hybrid,CVT,3.7L,Red,https://www.contactcars.com/en/used-cars/jaguar/unknown-model-2018,Excellent condition 2018 Jaguar Unknown Model. Well maintained with full service history.
Nissan,Unknown Model,2018,"$8,987","28,729 km",Hybrid,Manual,6.5L,Red,https://www.contactcars.com/en/used-cars/nissan/unknown-model-2018,Excellent condition 2018 Nissan Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2015,"$6,792","108,387 km",Gasoline,CVT,3.4L,Blue,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2015,Excellent condition 2015 Maserati Unknown Model. Well maintained with full service history.
Jeep,Unknown Model,2023,"$54,290","34,257 km",Hybrid,Automatic,5.7L,Gray,https://www.contactcars.com/en/used-cars/jeep/unknown-model-2023,Excellent condition 2023 Jeep Unknown Model. Well maintained with full service history.
Bentley,Unknown Model,2024,"$207,136","90,966 km",Diesel,CVT,6.1L,Gray,https://www.contactcars.com/en/used-cars/bentley/unknown-model-2024,Excellent condition 2024 Bentley Unknown Model. Well maintained with full service history.
Skoda,Unknown Model,2017,"$12,055","27,247 km",Plug-in Hybrid,Semi-Automatic,6.1L,Black,https://www.contactcars.com/en/used-cars/skoda/unknown-model-2017,Excellent condition 2017 Skoda Unknown Model. Well maintained with full service history.
Alfa Romeo,Stelvio,2011,"$-12,073","79,741 km",Hybrid,CVT,4.6L,Red,https://www.contactcars.com/en/used-cars/alfa-romeo/stelvio-2011,Excellent condition 2011 Alfa Romeo Stelvio. Well maintained with full service history.
Mercedes-Benz,A-Class,2023,"$64,131","10,371 km",Gasoline,Manual,6.9L,Gray,https://www.contactcars.com/en/used-cars/mercedes-benz/a-class-2023,Excellent condition 2023 Mercedes-Benz A-Class. Well maintained with full service history.
Saab,Unknown Model,2018,"$12,134","83,613 km",Plug-in Hybrid,Manual,4.0L,Orange,https://www.contactcars.com/en/used-cars/saab/unknown-model-2018,Excellent condition 2018 Saab Unknown Model. Well maintained with full service history.
Volkswagen,Jetta,2020,"$25,824","13,388 km",Hybrid,Automatic,1.3L,Orange,https://www.contactcars.com/en/used-cars/volkswagen/jetta-2020,Excellent condition 2020 Volkswagen Jetta. Well maintained with full service history.
Pontiac,Unknown Model,2019,"$17,312","100,189 km",Gasoline,Semi-Automatic,5.3L,White,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2019,Excellent condition 2019 Pontiac Unknown Model. Well maintained with full service history.
McLaren,Unknown Model,2018,"$25,184","21,703 km",Hybrid,Automatic,2.0L,Yellow,https://www.contactcars.com/en/used-cars/mclaren/unknown-model-2018,Excellent condition 2018 McLaren Unknown Model. Well maintained with full service history.
Lexus,Unknown Model,2022,"$57,248","117,035 km",Electric,Automatic,4.8L,Blue,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2022,Excellent condition 2022 Lexus Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2011,"$-12,849","130,438 km",Hybrid,CVT,5.6L,Red,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2011,Excellent condition 2011 Lotus Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2023,"$48,951","128,869 km",Hybrid,Automatic,6.8L,Yellow,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2023,Excellent condition 2023 Chrysler Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2014,$0,"29,703 km",Diesel,Automatic,3.5L,Orange,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2014,Excellent condition 2014 Lotus Unknown Model. Well maintained with full service history.
Subaru,Unknown Model,2019,"$23,521","41,994 km",Hybrid,Manual,4.1L,Silver,https://www.contactcars.com/en/used-cars/subaru/unknown-model-2019,Excellent condition 2019 Subaru Unknown Model. Well maintained with full service history.
Alfa Romeo,4C,2017,"$18,533","25,730 km",Plug-in Hybrid,Semi-Automatic,5.2L,Red,https://www.contactcars.com/en/used-cars/alfa-romeo/4c-2017,Excellent condition 2017 Alfa Romeo 4C. Well maintained with full service history.
Jeep,Unknown Model,2014,$0,"52,394 km",Diesel,Semi-Automatic,5.3L,White,https://www.contactcars.com/en/used-cars/jeep/unknown-model-2014,Excellent condition 2014 Jeep Unknown Model. Well maintained with full service history.
Audi,Q5,2014,$0,"60,896 km",Diesel,Automatic,1.0L,Red,https://www.contactcars.com/en/used-cars/audi/q5-2014,Excellent condition 2014 Audi Q5. Well maintained with full service history.
Opel,Unknown Model,2023,"$51,296","62,623 km",Diesel,Semi-Automatic,1.7L,Silver,https://www.contactcars.com/en/used-cars/opel/unknown-model-2023,Excellent condition 2023 Opel Unknown Model. Well maintained with full service history.
Hummer,Unknown Model,2012,"$-8,644","142,977 km",Plug-in Hybrid,Manual,6.1L,White,https://www.contactcars.com/en/used-cars/hummer/unknown-model-2012,Excellent condition 2012 Hummer Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2012,"$-12,811","44,564 km",Gasoline,Semi-Automatic,6.8L,Black,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2012,Excellent condition 2012 Dodge Unknown Model. Well maintained with full service history.
Honda,Accord,2021,"$49,467","28,214 km",Plug-in Hybrid,CVT,4.8L,Black,https://www.contactcars.com/en/used-cars/honda/accord-2021,Excellent condition 2021 Honda Accord. Well maintained with full service history.
Kia,Unknown Model,2017,"$16,835","87,139 km",Diesel,Semi-Automatic,2.2L,Black,https://www.contactcars.com/en/used-cars/kia/unknown-model-2017,Excellent condition 2017 Kia Unknown Model. Well maintained with full service history.
Mitsubishi,Unknown Model,2022,"$41,652","65,288 km",Gasoline,CVT,6.8L,Silver,https://www.contactcars.com/en/used-cars/mitsubishi/unknown-model-2022,Excellent condition 2022 Mitsubishi Unknown Model. Well maintained with full service history.
Saab,Unknown Model,2020,"$22,227","69,913 km",Hybrid,Manual,2.9L,Orange,https://www.contactcars.com/en/used-cars/saab/unknown-model-2020,Excellent condition 2020 Saab Unknown Model. Well maintained with full service history.
Volkswagen,Polo,2011,"$-10,405","89,253 km",Hybrid,Automatic,6.4L,Blue,https://www.contactcars.com/en/used-cars/volkswagen/polo-2011,Excellent condition 2011 Volkswagen Polo. Well maintained with full service history.
McLaren,Unknown Model,2015,"$3,873","33,262 km",Gasoline,Automatic,3.0L,Yellow,https://www.contactcars.com/en/used-cars/mclaren/unknown-model-2015,Excellent condition 2015 McLaren Unknown Model. Well maintained with full service history.
Saab,Unknown Model,2012,"$-8,253","120,014 km",Hybrid,CVT,2.6L,White,https://www.contactcars.com/en/used-cars/saab/unknown-model-2012,Excellent condition 2012 Saab Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2023,"$70,722","109,078 km",Plug-in Hybrid,CVT,4.5L,Yellow,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2023,Excellent condition 2023 Suzuki Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2024,"$17,291","80,473 km",Gasoline,CVT,2.5L,White,https://www.contactcars.com/en/used-cars/opel/unknown-model-2024,Excellent condition 2024 Opel Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2016,"$6,029","60,362 km",Hybrid,Semi-Automatic,5.6L,Blue,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2016,Excellent condition 2016 Dodge Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2022,"$57,424","50,455 km",Hybrid,Automatic,3.0L,White,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2022,Excellent condition 2022 Maserati Unknown Model. Well maintained with full service history.
Bentley,Unknown Model,2020,"$209,366","51,440 km",Plug-in Hybrid,Semi-Automatic,2.2L,Black,https://www.contactcars.com/en/used-cars/bentley/unknown-model-2020,Excellent condition 2020 Bentley Unknown Model. Well maintained with full service history.
Mazda,Unknown Model,2011,"$-16,983","107,076 km",Diesel,CVT,2.3L,Black,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2011,Excellent condition 2011 Mazda Unknown Model. Well maintained with full service history.
Mazda,Unknown Model,2022,"$50,696","124,894 km",Hybrid,Manual,3.1L,Black,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2022,Excellent condition 2022 Mazda Unknown Model. Well maintained with full service history.
Bentley,Unknown Model,2010,"$-141,221","1,951 km",Gasoline,Manual,4.3L,Orange,https://www.contactcars.com/en/used-cars/bentley/unknown-model-2010,Excellent condition 2010 Bentley Unknown Model. Well maintained with full service history.
BMW,3 Series,2014,$0,"23,079 km",Plug-in Hybrid,Semi-Automatic,3.4L,Blue,https://www.contactcars.com/en/used-cars/bmw/3-series-2014,Excellent condition 2014 BMW 3 Series. Well maintained with full service history.
Mazda,Unknown Model,2013,"$-7,949","50,096 km",Electric,Manual,5.5L,Gray,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2013,Excellent condition 2013 Mazda Unknown Model. Well maintained with full service history.
Chevrolet,Silverado,2020,"$26,127","5,289 km",Hybrid,Manual,2.8L,Yellow,https://www.contactcars.com/en/used-cars/chevrolet/silverado-2020,Excellent condition 2020 Chevrolet Silverado. Well maintained with full service history.
Maybach,Unknown Model,2012,"$-14,158","144,980 km",Electric,Automatic,4.5L,White,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2012,Excellent condition 2012 Maybach Unknown Model. Well maintained with full service history.
Rolls-Royce,Unknown Model,2019,"$218,419","114,174 km",Hybrid,Automatic,6.9L,Orange,https://www.contactcars.com/en/used-cars/rolls-royce/unknown-model-2019,Excellent condition 2019 Rolls-Royce Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2016,"$95,814","7,915 km",Plug-in Hybrid,CVT,2.3L,Blue,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2016,Excellent condition 2016 Lamborghini Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2023,"$65,145","69,627 km",Diesel,CVT,2.7L,Orange,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2023,Excellent condition 2023 Pontiac Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2021,"$14,646","64,165 km",Gasoline,Manual,2.5L,Blue,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2021,Excellent condition 2021 Chrysler Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2022,"$17,575","93,577 km",Hybrid,Manual,1.0L,Gray,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2022,Excellent condition 2022 Lotus Unknown Model. Well maintained with full service history.
Saab,Unknown Model,2021,"$40,728","148,433 km",Diesel,Automatic,2.1L,Gray,https://www.contactcars.com/en/used-cars/saab/unknown-model-2021,Excellent condition 2021 Saab Unknown Model. Well maintained with full service history.
Mazda,Unknown Model,2013,"$-7,297","65,573 km",Diesel,Semi-Automatic,1.1L,Silver,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2013,Excellent condition 2013 Mazda Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2020,"$31,339","32,956 km",Diesel,CVT,6.9L,Green,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2020,Excellent condition 2020 Infiniti Unknown Model. Well maintained with full service history.
BMW,2 Series,2014,$0,"125,119 km",Gasoline,CVT,6.2L,Gray,https://www.contactcars.com/en/used-cars/bmw/2-series-2014,Excellent condition 2014 BMW 2 Series. Well maintained with full service history.
Mazda,Unknown Model,2014,$0,"110,357 km",Electric,CVT,1.2L,Black,https://www.contactcars.com/en/used-cars/mazda/unknown-model-2014,Excellent condition 2014 Mazda Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2022,"$52,695","45,773 km",Hybrid,Automatic,3.3L,Blue,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2022,Excellent condition 2022 Infiniti Unknown Model. Well maintained with full service history.
Buick,Unknown Model,2012,"$-12,098","95,854 km",Gasoline,Automatic,1.8L,Yellow,https://www.contactcars.com/en/used-cars/buick/unknown-model-2012,Excellent condition 2012 Buick Unknown Model. Well maintained with full service history.
Mercedes-Benz,A-Class,2019,"$21,495","74,249 km",Hybrid,Automatic,1.5L,Blue,https://www.contactcars.com/en/used-cars/mercedes-benz/a-class-2019,Excellent condition 2019 Mercedes-Benz A-Class. Well maintained with full service history.
Saturn,Unknown Model,2018,"$22,239","126,677 km",Diesel,Semi-Automatic,6.0L,Red,https://www.contactcars.com/en/used-cars/saturn/unknown-model-2018,Excellent condition 2018 Saturn Unknown Model. Well maintained with full service history.
Cadillac,Unknown Model,2023,"$29,277","71,731 km",Diesel,Manual,1.0L,Orange,https://www.contactcars.com/en/used-cars/cadillac/unknown-model-2023,Excellent condition 2023 Cadillac Unknown Model. Well maintained with full service history.
Jeep,Unknown Model,2011,"$-19,304","128,081 km",Plug-in Hybrid,Manual,3.0L,Green,https://www.contactcars.com/en/used-cars/jeep/unknown-model-2011,Excellent condition 2011 Jeep Unknown Model. Well maintained with full service history.
Toyota,Corolla,2017,"$22,318","50,213 km",Hybrid,Manual,2.9L,Black,https://www.contactcars.com/en/used-cars/toyota/corolla-2017,Excellent condition 2017 Toyota Corolla. Well maintained with full service history.
Subaru,Unknown Model,2013,"$-5,816","117,916 km",Electric,Semi-Automatic,1.3L,Gray,https://www.contactcars.com/en/used-cars/subaru/unknown-model-2013,Excellent condition 2013 Subaru Unknown Model. Well maintained with full service history.
BMW,1 Series,2016,"$16,958","64,859 km",Diesel,Manual,6.8L,Green,https://www.contactcars.com/en/used-cars/bmw/1-series-2016,Excellent condition 2016 BMW 1 Series. Well maintained with full service history.
Chevrolet,Silverado,2017,"$18,911","135,864 km",Gasoline,CVT,3.4L,Blue,https://www.contactcars.com/en/used-cars/chevrolet/silverado-2017,Excellent condition 2017 Chevrolet Silverado. Well maintained with full service history.
Maserati,Unknown Model,2022,"$14,652","120,047 km",Hybrid,CVT,2.0L,Green,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2022,Excellent condition 2022 Maserati Unknown Model. Well maintained with full service history.
BMW,5 Series,2012,"$-21,705","124,330 km",Plug-in Hybrid,CVT,3.4L,Green,https://www.contactcars.com/en/used-cars/bmw/5-series-2012,Excellent condition 2012 BMW 5 Series. Well maintained with full service history.
Scion,Unknown Model,2019,"$22,894","119,938 km",Plug-in Hybrid,Manual,1.7L,Yellow,https://www.contactcars.com/en/used-cars/scion/unknown-model-2019,Excellent condition 2019 Scion Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2022,"$36,232","19,211 km",Hybrid,CVT,1.3L,Green,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2022,Excellent condition 2022 Chrysler Unknown Model. Well maintained with full service history.
GMC,Unknown Model,2018,"$10,415","114,361 km",Gasoline,Manual,6.1L,Gray,https://www.contactcars.com/en/used-cars/gmc/unknown-model-2018,Excellent condition 2018 GMC Unknown Model. Well maintained with full service history.
Land Rover,Unknown Model,2013,"$-3,056","110,183 km",Hybrid,CVT,5.6L,White,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2013,Excellent condition 2013 Land Rover Unknown Model. Well maintained with full service history.
Lamborghini,Unknown Model,2010,"$-132,435","36,315 km",Plug-in Hybrid,CVT,6.8L,Silver,https://www.contactcars.com/en/used-cars/lamborghini/unknown-model-2010,Excellent condition 2010 Lamborghini Unknown Model. Well maintained with full service history.
Opel,Unknown Model,2017,"$15,623","78,389 km",Plug-in Hybrid,Automatic,5.5L,Yellow,https://www.contactcars.com/en/used-cars/opel/unknown-model-2017,Excellent condition 2017 Opel Unknown Model. Well maintained with full service history.
Ferrari,Unknown Model,2023,"$379,030","15,903 km",Gasoline,Automatic,1.3L,Orange,https://www.contactcars.com/en/used-cars/ferrari/unknown-model-2023,Excellent condition 2023 Ferrari Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2016,"$5,842","143,916 km",Gasoline,CVT,5.5L,Green,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2016,Excellent condition 2016 Infiniti Unknown Model. Well maintained with full service history.
Kia,Unknown Model,2022,"$19,541","33,663 km",Gasoline,Automatic,2.2L,Green,https://www.contactcars.com/en/used-cars/kia/unknown-model-2022,Excellent condition 2022 Kia Unknown Model. Well maintained with full service history.
Peugeot,Unknown Model,2022,"$34,834","76,454 km",Diesel,Manual,3.8L,Orange,https://www.contactcars.com/en/used-cars/peugeot/unknown-model-2022,Excellent condition 2022 Peugeot Unknown Model. Well maintained with full service history.
Ford,F-150,2010,"$-23,100","148,488 km",Gasoline,Manual,5.9L,Gray,https://www.contactcars.com/en/used-cars/ford/f-150-2010,Excellent condition 2010 Ford F-150. Well maintained with full service history.
Maybach,Unknown Model,2010,"$-6,966","88,044 km",Electric,Manual,3.7L,Silver,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2010,Excellent condition 2010 Maybach Unknown Model. Well maintained with full service history.
Skoda,Unknown Model,2020,"$35,233","121,145 km",Gasoline,CVT,4.5L,Blue,https://www.contactcars.com/en/used-cars/skoda/unknown-model-2020,Excellent condition 2020 Skoda Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2011,"$-19,538","118,351 km",Gasoline,Automatic,4.5L,Black,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2011,Excellent condition 2011 Dodge Unknown Model. Well maintained with full service history.
Tesla,Unknown Model,2024,"$74,324","3,489 km",Electric,CVT,4.2L,Green,https://www.contactcars.com/en/used-cars/tesla/unknown-model-2024,Excellent condition 2024 Tesla Unknown Model. Well maintained with full service history.
Smart,Unknown Model,2018,"$10,438","52,996 km",Electric,Automatic,1.5L,White,https://www.contactcars.com/en/used-cars/smart/unknown-model-2018,Excellent condition 2018 Smart Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2023,"$25,003","64,100 km",Electric,Automatic,6.2L,Red,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2023,Excellent condition 2023 Dodge Unknown Model. Well maintained with full service history.
Mitsubishi,Unknown Model,2022,"$30,964","22,608 km",Diesel,Semi-Automatic,6.1L,Gray,https://www.contactcars.com/en/used-cars/mitsubishi/unknown-model-2022,Excellent condition 2022 Mitsubishi Unknown Model. Well maintained with full service history.
Alfa Romeo,Tonale,2019,"$21,214","71,978 km",Diesel,Automatic,2.4L,Yellow,https://www.contactcars.com/en/used-cars/alfa-romeo/tonale-2019,Excellent condition 2019 Alfa Romeo Tonale. Well maintained with full service history.
Suzuki,Unknown Model,2020,"$34,379","66,835 km",Electric,CVT,3.8L,Orange,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2020,Excellent condition 2020 Suzuki Unknown Model. Well maintained with full service history.
Mini,Unknown Model,2024,"$15,129","133,004 km",Diesel,CVT,2.6L,Black,https://www.contactcars.com/en/used-cars/mini/unknown-model-2024,Excellent condition 2024 Mini Unknown Model. Well maintained with full service history.
Cadillac,Unknown Model,2015,"$2,252","99,859 km",Diesel,Automatic,4.1L,Black,https://www.contactcars.com/en/used-cars/cadillac/unknown-model-2015,Excellent condition 2015 Cadillac Unknown Model. Well maintained with full service history.
Lotus,Unknown Model,2019,"$7,817","96,958 km",Hybrid,Semi-Automatic,3.8L,Yellow,https://www.contactcars.com/en/used-cars/lotus/unknown-model-2019,Excellent condition 2019 Lotus Unknown Model. Well maintained with full service history.
Maserati,Unknown Model,2017,"$4,601","139,865 km",Electric,Automatic,6.2L,White,https://www.contactcars.com/en/used-cars/maserati/unknown-model-2017,Excellent condition 2017 Maserati Unknown Model. Well maintained with full service history.
Hummer,Unknown Model,2020,"$41,200","56,846 km",Electric,Manual,4.5L,Orange,https://www.contactcars.com/en/used-cars/hummer/unknown-model-2020,Excellent condition 2020 Hummer Unknown Model. Well maintained with full service history.
Acura,Unknown Model,2023,"$26,577","42,774 km",Diesel,Semi-Automatic,3.3L,Black,https://www.contactcars.com/en/used-cars/acura/unknown-model-2023,Excellent condition 2023 Acura Unknown Model. Well maintained with full service history.
Saab,Unknown Model,2024,"$48,257","105,693 km",Diesel,CVT,4.4L,Gray,https://www.contactcars.com/en/used-cars/saab/unknown-model-2024,Excellent condition 2024 Saab Unknown Model. Well maintained with full service history.
Mercedes-Benz,S-Class,2020,"$33,483","94,884 km",Plug-in Hybrid,CVT,6.9L,Yellow,https://www.contactcars.com/en/used-cars/mercedes-benz/s-class-2020,Excellent condition 2020 Mercedes-Benz S-Class. Well maintained with full service history.
Alfa Romeo,Giulia,2010,"$-8,694","130,276 km",Electric,CVT,6.7L,Green,https://www.contactcars.com/en/used-cars/alfa-romeo/giulia-2010,Excellent condition 2010 Alfa Romeo Giulia. Well maintained with full service history.
Volkswagen,Jetta,2012,"$-3,023","144,126 km",Diesel,Semi-Automatic,6.9L,Silver,https://www.contactcars.com/en/used-cars/volkswagen/jetta-2012,Excellent condition 2012 Volkswagen Jetta. Well maintained with full service history.
Cadillac,Unknown Model,2012,"$-5,357","16,161 km",Hybrid,Automatic,1.3L,Black,https://www.contactcars.com/en/used-cars/cadillac/unknown-model-2012,Excellent condition 2012 Cadillac Unknown Model. Well maintained with full service history.
Hyundai,Unknown Model,2016,"$5,014","10,731 km",Plug-in Hybrid,Automatic,1.2L,Orange,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2016,Excellent condition 2016 Hyundai Unknown Model. Well maintained with full service history.
Skoda,Unknown Model,2014,$0,"103,215 km",Diesel,Manual,4.6L,Orange,https://www.contactcars.com/en/used-cars/skoda/unknown-model-2014,Excellent condition 2014 Skoda Unknown Model. Well maintained with full service history.
Hyundai,Unknown Model,2018,"$16,365","84,089 km",Hybrid,CVT,1.3L,Blue,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2018,Excellent condition 2018 Hyundai Unknown Model. Well maintained with full service history.
Citroen,Unknown Model,2019,"$21,600","31,844 km",Electric,CVT,2.5L,Blue,https://www.contactcars.com/en/used-cars/citroen/unknown-model-2019,Excellent condition 2019 Citroen Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2018,"$25,933","9,579 km",Electric,Semi-Automatic,1.0L,Yellow,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2018,Excellent condition 2018 Maybach Unknown Model. Well maintained with full service history.
Chrysler,Unknown Model,2012,"$-12,180","10,909 km",Diesel,CVT,2.4L,White,https://www.contactcars.com/en/used-cars/chrysler/unknown-model-2012,Excellent condition 2012 Chrysler Unknown Model. Well maintained with full service history.
Dodge,Unknown Model,2013,"$-2,562","86,029 km",Gasoline,Automatic,6.2L,Orange,https://www.contactcars.com/en/used-cars/dodge/unknown-model-2013,Excellent condition 2013 Dodge Unknown Model. Well maintained with full service history.
Suzuki,Unknown Model,2023,"$55,270","31,187 km",Gasoline,Automatic,6.6L,White,https://www.contactcars.com/en/used-cars/suzuki/unknown-model-2023,Excellent condition 2023 Suzuki Unknown Model. Well maintained with full service history.
Honda,Civic,2020,"$31,651","149,913 km",Plug-in Hybrid,CVT,6.2L,Silver,https://www.contactcars.com/en/used-cars/honda/civic-2020,Excellent condition 2020 Honda Civic. Well maintained with full service history.
Hyundai,Unknown Model,2022,"$25,256","15,246 km",Plug-in Hybrid,Automatic,1.5L,White,https://www.contactcars.com/en/used-cars/hyundai/unknown-model-2022,Excellent condition 2022 Hyundai Unknown Model. Well maintained with full service history.
Land Rover,Unknown Model,2010,"$-20,982","137,743 km",Plug-in Hybrid,CVT,5.1L,Blue,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2010,Excellent condition 2010 Land Rover Unknown Model. Well maintained with full service history.
Mercedes-Benz,GLA,2016,"$17,605","74,042 km",Gasoline,CVT,1.8L,Blue,https://www.contactcars.com/en/used-cars/mercedes-benz/gla-2016,Excellent condition 2016 Mercedes-Benz GLA. Well maintained with full service history.
Honda,Civic,2018,"$11,866","92,373 km",Plug-in Hybrid,Semi-Automatic,4.8L,Yellow,https://www.contactcars.com/en/used-cars/honda/civic-2018,Excellent condition 2018 Honda Civic. Well maintained with full service history.
Audi,S3,2023,"$81,110","103,881 km",Hybrid,Automatic,2.0L,Blue,https://www.contactcars.com/en/used-cars/audi/s3-2023,Excellent condition 2023 Audi S3. Well maintained with full service history.
Fiat,Unknown Model,2015,"$7,726","65,083 km",Gasoline,Semi-Automatic,1.3L,Black,https://www.contactcars.com/en/used-cars/fiat/unknown-model-2015,Excellent condition 2015 Fiat Unknown Model. Well maintained with full service history.
Lexus,Unknown Model,2020,"$47,247","76,205 km",Plug-in Hybrid,Manual,1.6L,Red,https://www.contactcars.com/en/used-cars/lexus/unknown-model-2020,Excellent condition 2020 Lexus Unknown Model. Well maintained with full service history.
Saab,Unknown Model,2013,"$-5,478","40,655 km",Gasoline,Manual,5.9L,Blue,https://www.contactcars.com/en/used-cars/saab/unknown-model-2013,Excellent condition 2013 Saab Unknown Model. Well maintained with full service history.
Infiniti,Unknown Model,2011,"$-9,119","23,429 km",Diesel,Semi-Automatic,3.2L,Blue,https://www.contactcars.com/en/used-cars/infiniti/unknown-model-2011,Excellent condition 2011 Infiniti Unknown Model. Well maintained with full service history.
Volkswagen,Polo,2014,$0,"9,162 km",Hybrid,Automatic,2.0L,Gray,https://www.contactcars.com/en/used-cars/volkswagen/polo-2014,Excellent condition 2014 Volkswagen Polo. Well maintained with full service history.
Kia,Unknown Model,2018,"$8,647","40,817 km",Plug-in Hybrid,CVT,5.0L,White,https://www.contactcars.com/en/used-cars/kia/unknown-model-2018,Excellent condition 2018 Kia Unknown Model. Well maintained with full service history.
Land Rover,Unknown Model,2021,"$43,628","16,637 km",Diesel,Manual,1.8L,Green,https://www.contactcars.com/en/used-cars/land-rover/unknown-model-2021,Excellent condition 2021 Land Rover Unknown Model. Well maintained with full service history.
Alfa Romeo,Tonale,2016,"$14,633","101,150 km",Gasoline,Manual,5.9L,Orange,https://www.contactcars.com/en/used-cars/alfa-romeo/tonale-2016,Excellent condition 2016 Alfa Romeo Tonale. Well maintained with full service history.
Smart,Unknown Model,2018,"$21,897","112,270 km",Electric,CVT,5.9L,Black,https://www.contactcars.com/en/used-cars/smart/unknown-model-2018,Excellent condition 2018 Smart Unknown Model. Well maintained with full service history.
Maybach,Unknown Model,2022,"$16,778","48,302 km",Electric,Automatic,1.7L,Black,https://www.contactcars.com/en/used-cars/maybach/unknown-model-2022,Excellent condition 2022 Maybach Unknown Model. Well maintained with full service history.
Pontiac,Unknown Model,2016,"$14,640","16,202 km",Electric,Automatic,5.2L,Red,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2016,Excellent condition 2016 Pontiac Unknown Model. Well maintained with full service history.
Chevrolet,Silverado,2017,"$16,607","131,743 km",Electric,Semi-Automatic,3.1L,Green,https://www.contactcars.com/en/used-cars/chevrolet/silverado-2017,Excellent condition 2017 Chevrolet Silverado. Well maintained with full service history.
Pontiac,Unknown Model,2023,"$65,198","5,074 km",Plug-in Hybrid,CVT,2.2L,Black,https://www.contactcars.com/en/used-cars/pontiac/unknown-model-2023,Excellent condition 2023 Pontiac Unknown Model. Well maintained with full service history.
